Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,39.406,88.568,46.22,90.92
1,60.418,95.944,61.38,96.25
2,69.984,97.616,69.74,97.91
3,74.498,98.234,75.16,98.27
4,77.648,98.648,73.65,98.63
5,79.296,98.884,77.03,98.42
6,80.602,99.052,77.67,98.44
7,81.986,99.128,79.96,98.76
8,82.982,99.204,79.9,98.99
9,83.77,99.258,77.8,98.25
10,84.214,99.302,80.56,99.15
11,84.952,99.31,82.52,99.15
12,85.462,99.378,83.53,99.31
13,85.64,99.404,81.03,99.23
14,85.978,99.446,80.76,99.13
15,86.478,99.452,85.26,99.13
16,86.59,99.446,82.42,99.23
17,86.608,99.494,80.52,99.13
18,87.148,99.59,82.29,98.99
19,87.5,99.56,84.52,99.35
20,87.482,99.616,83.29,99.34
21,87.824,99.586,83.26,99.19
22,87.984,99.59,81.22,99.1
23,87.75,99.618,84.11,99.1
24,88.396,99.632,83.25,99.25
25,88.426,99.626,84.1,98.97
26,88.58,99.654,80.67,99.31
27,88.856,99.644,84.26,99.36
28,88.946,99.674,84.59,99.35
29,88.698,99.706,85.22,99.37
30,88.992,99.682,84.88,99.45
31,89.002,99.666,84.69,99.24
32,88.846,99.642,85.56,99.5
33,89.072,99.688,86.19,99.46
34,89.128,99.662,85.4,99.4
35,89.398,99.706,84.83,99.22
36,89.342,99.71,81.99,98.99
37,89.414,99.716,82.31,99.07
38,89.49,99.696,81.84,98.99
39,89.466,99.684,85.15,99.49
40,89.696,99.688,84.52,99.2
41,89.716,99.712,81.63,99.17
42,89.718,99.724,84.93,99.35
43,89.884,99.686,85.82,99.33
44,89.962,99.712,85.66,99.35
45,89.816,99.676,81.06,99.31
46,90.088,99.7,84.17,99.44
47,89.984,99.75,85.02,99.28
48,90.048,99.708,84.9,99.39
49,90.132,99.746,86.85,99.47
50,90.12,99.698,83.08,99.0
51,90.166,99.756,86.48,99.48
52,90.084,99.732,85.0,99.4
53,90.236,99.766,85.28,99.45
54,90.198,99.744,82.94,99.13
55,90.488,99.756,85.66,99.26
56,90.396,99.732,86.3,99.44
57,90.662,99.778,86.26,99.49
58,90.548,99.744,84.95,99.28
59,90.408,99.756,82.77,99.22
60,90.528,99.762,85.83,99.2
61,90.48,99.766,81.73,99.12
62,90.506,99.742,85.82,99.42
63,90.442,99.744,83.67,99.29
64,90.53,99.786,85.44,99.32
65,90.474,99.776,85.68,99.33
66,90.682,99.722,85.28,99.54
67,90.5,99.748,87.8,99.4
68,90.77,99.768,85.16,99.24
69,90.542,99.77,87.36,99.55
70,91.466,99.802,87.72,99.45
71,91.868,99.842,87.04,99.29
72,91.818,99.844,87.4,99.56
73,91.762,99.822,86.8,99.51
74,91.738,99.816,88.0,99.57
75,91.99,99.838,84.61,99.3
76,91.738,99.832,87.72,99.5
77,91.85,99.836,86.39,99.36
78,91.726,99.836,88.09,99.53
79,91.71,99.838,86.61,99.53
80,92.054,99.82,84.16,99.26
81,91.912,99.814,88.84,99.65
82,92.148,99.808,86.38,99.29
83,91.974,99.826,86.5,99.5
84,92.354,99.848,87.17,99.22
85,92.038,99.816,86.4,99.52
86,92.098,99.832,86.44,99.61
87,92.056,99.82,87.35,99.35
88,92.122,99.818,85.29,99.4
89,92.056,99.822,87.73,99.57
90,92.234,99.836,87.29,99.26
91,91.996,99.812,84.9,99.23
92,92.094,99.852,88.16,99.56
93,92.18,99.838,88.31,99.54
94,92.226,99.846,88.32,99.54
95,92.122,99.822,88.88,99.58
96,92.312,99.856,83.94,99.44
97,92.194,99.84,87.87,99.51
98,92.244,99.856,88.28,99.61
99,92.416,99.842,88.04,99.6
100,92.148,99.836,87.68,99.59
101,92.434,99.836,88.74,99.6
102,92.342,99.824,85.66,99.06
103,92.32,99.836,87.67,99.46
104,92.414,99.808,87.73,99.42
105,92.55,99.85,88.68,99.66
106,92.392,99.852,88.66,99.55
107,92.194,99.83,88.11,99.54
108,92.204,99.856,89.21,99.65
109,92.312,99.838,88.38,99.52
110,92.356,99.854,85.65,99.42
111,92.346,99.846,89.37,99.67
112,92.196,99.836,89.35,99.64
113,92.226,99.862,88.78,99.67
114,92.39,99.85,86.58,99.4
115,92.28,99.846,88.52,99.56
116,92.184,99.828,88.44,99.48
117,92.376,99.818,85.98,99.38
118,92.268,99.874,86.39,99.37
119,92.468,99.832,88.16,99.62
120,92.306,99.826,88.84,99.67
121,92.31,99.844,87.83,99.75
122,92.208,99.868,89.49,99.6
123,92.374,99.856,88.95,99.56
124,92.24,99.84,88.27,99.55
125,92.354,99.858,87.3,99.49
126,92.194,99.874,88.06,99.56
127,92.302,99.852,88.65,99.6
128,92.328,99.85,85.99,99.4
129,92.298,99.828,88.71,99.48
130,92.33,99.812,87.75,99.53
131,92.424,99.828,86.75,99.26
132,92.368,99.824,88.48,99.63
133,92.218,99.834,88.83,99.57
134,92.012,99.832,86.36,99.24
135,92.07,99.848,86.94,99.44
136,92.112,99.86,87.33,99.33
137,92.24,99.818,88.46,99.7
138,92.266,99.838,89.09,99.5
139,91.97,99.846,87.98,99.53
140,92.326,99.844,88.65,99.59
141,91.982,99.808,87.01,99.55
142,92.33,99.83,89.51,99.62
143,92.148,99.828,89.32,99.65
144,92.262,99.824,87.9,99.6
145,91.894,99.816,89.4,99.72
146,92.024,99.812,88.11,99.65
147,92.178,99.85,88.37,99.58
148,92.036,99.814,86.56,99.39
149,92.006,99.814,88.92,99.59
150,94.738,99.908,91.72,99.83
151,95.642,99.94,91.91,99.84
152,95.848,99.956,92.25,99.85
153,96.218,99.95,92.31,99.86
154,96.27,99.946,92.3,99.84
155,96.456,99.954,92.43,99.88
156,96.6,99.966,92.61,99.85
157,96.686,99.966,92.4,99.84
158,96.76,99.962,92.45,99.82
159,96.794,99.964,92.58,99.84
160,96.952,99.96,92.35,99.83
161,97.048,99.96,92.8,99.84
162,96.984,99.98,92.58,99.83
163,97.04,99.964,92.8,99.83
164,97.072,99.962,92.52,99.82
165,97.27,99.99,92.63,99.82
166,97.328,99.978,92.54,99.83
167,97.198,99.964,92.84,99.85
168,97.314,99.976,92.62,99.81
169,97.274,99.974,92.64,99.85
170,97.382,99.968,92.75,99.84
171,97.422,99.978,92.58,99.82
172,97.446,99.972,92.62,99.8
173,97.342,99.976,92.48,99.82
174,97.446,99.986,92.3,99.82
175,97.454,99.972,92.6,99.8
176,97.63,99.986,92.46,99.8
177,97.606,99.98,92.85,99.8
178,97.51,99.98,92.13,99.78
179,97.644,99.984,92.38,99.8
180,97.558,99.978,92.36,99.77
181,97.58,99.98,92.45,99.84
182,97.542,99.986,92.4,99.79
183,97.678,99.978,92.77,99.78
184,97.568,99.988,92.65,99.8
185,97.626,99.982,92.63,99.78
186,97.656,99.98,92.52,99.8
187,97.672,99.988,92.33,99.8
188,97.59,99.992,92.29,99.77
189,97.688,99.978,92.13,99.8
190,97.784,99.986,92.55,99.78
191,97.72,99.978,92.35,99.79
192,97.682,99.988,92.56,99.75
193,97.646,99.988,92.49,99.68
194,97.766,99.982,92.53,99.81
195,97.754,99.98,92.36,99.77
196,97.728,99.978,92.03,99.73
197,97.702,99.982,92.37,99.8
198,97.748,99.988,92.13,99.78
199,97.792,99.988,91.82,99.7
200,97.678,99.994,92.43,99.77
201,97.658,99.986,92.44,99.79
202,97.698,99.982,92.59,99.78
203,97.724,99.986,92.24,99.76
204,97.76,99.99,92.29,99.79
205,97.746,99.98,92.11,99.8
206,97.71,99.984,92.43,99.79
207,97.736,99.984,92.44,99.79
208,97.742,99.988,92.43,99.79
209,97.698,99.986,92.38,99.83
210,97.676,99.986,92.14,99.77
211,97.69,99.986,92.36,99.79
212,97.776,99.986,92.36,99.83
213,97.672,99.988,92.34,99.81
214,97.684,99.99,91.81,99.74
215,97.73,99.98,92.06,99.82
216,97.84,99.984,92.08,99.81
217,97.806,99.984,92.15,99.79
218,97.618,99.986,91.78,99.79
219,97.618,99.992,92.34,99.71
220,97.71,99.978,92.1,99.76
221,97.698,99.99,91.93,99.76
222,97.742,99.992,92.33,99.81
223,97.678,99.986,92.27,99.76
224,97.712,99.99,91.84,99.78
225,98.204,99.992,92.47,99.8
226,98.474,99.994,92.65,99.81
227,98.608,99.992,92.74,99.82
228,98.584,99.994,92.58,99.81
229,98.598,99.996,92.72,99.83
230,98.672,99.994,92.64,99.83
231,98.622,99.988,92.56,99.82
232,98.652,99.996,92.62,99.79
233,98.668,99.992,92.56,99.81
234,98.736,99.996,92.67,99.8
235,98.724,99.994,92.79,99.79
236,98.746,99.994,92.82,99.81
237,98.776,99.992,92.54,99.82
238,98.822,99.99,92.56,99.83
239,98.728,99.992,92.57,99.82
240,98.788,99.996,92.68,99.86
241,98.798,99.988,92.73,99.82
242,98.776,99.994,92.67,99.82
243,98.838,99.996,92.67,99.81
244,98.84,99.99,92.63,99.8
245,98.77,99.99,92.51,99.81
246,98.83,99.994,92.58,99.81
247,98.816,99.996,92.47,99.82
248,98.9,99.996,92.75,99.82
249,98.888,99.992,92.65,99.8
250,98.854,99.998,92.65,99.78
251,98.826,99.996,92.63,99.78
252,98.848,99.998,92.63,99.83
253,98.974,99.996,92.59,99.84
254,98.958,99.994,92.54,99.8
255,98.95,99.996,92.62,99.8
256,98.858,99.994,92.55,99.82
257,98.916,99.992,92.57,99.82
258,98.89,99.994,92.49,99.83
259,98.852,99.992,92.71,99.83
260,98.966,99.998,92.56,99.81
261,98.976,99.996,92.75,99.8
262,98.934,99.996,92.67,99.79
263,98.896,99.99,92.58,99.78
264,98.918,99.992,92.62,99.78
265,98.988,99.994,92.63,99.8
266,98.922,99.996,92.56,99.79
267,98.934,99.994,92.6,99.78
268,99.006,99.998,92.61,99.84
269,98.98,99.996,92.8,99.83
270,98.966,99.996,92.72,99.8
271,98.992,99.998,92.64,99.79
272,99.034,99.998,92.57,99.78
273,99.014,99.996,92.68,99.77
274,99.0,99.996,92.58,99.81
275,98.992,99.994,92.5,99.79
276,99.052,99.998,92.56,99.79
277,98.946,99.998,92.58,99.8
278,99.064,99.998,92.66,99.81
279,99.042,99.996,92.55,99.8
280,98.986,99.998,92.54,99.8
281,99.02,100.0,92.65,99.83
282,99.08,99.99,92.72,99.81
283,99.074,99.998,92.52,99.8
284,99.032,100.0,92.66,99.81
285,98.976,99.996,92.49,99.84
286,99.054,99.996,92.61,99.82
287,99.064,99.996,92.68,99.84
288,99.032,99.998,92.62,99.79
289,99.096,99.998,92.54,99.79
290,99.074,99.992,92.71,99.8
291,99.092,99.994,92.58,99.78
292,99.07,99.994,92.68,99.78
293,99.084,99.998,92.7,99.81
294,99.098,99.996,92.57,99.79
295,99.164,99.998,92.67,99.78
296,99.024,99.996,92.66,99.79
297,99.104,99.998,92.59,99.75
298,99.094,99.998,92.78,99.78
299,99.082,99.992,92.47,99.75
