Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,37.87,87.03,46.71,92.25
1,58.846,95.486,61.51,96.45
2,68.502,97.32,68.05,97.83
3,74.172,98.224,56.92,91.46
4,77.23,98.55,71.29,97.41
5,79.302,98.884,76.6,98.64
6,80.984,98.996,80.08,99.01
7,82.206,99.094,79.18,98.77
8,82.746,99.226,79.24,99.0
9,83.764,99.276,79.21,98.9
10,84.348,99.29,80.6,99.03
11,85.022,99.402,80.33,98.5
12,85.522,99.376,79.49,98.52
13,85.934,99.406,80.38,98.97
14,86.106,99.498,82.06,98.51
15,86.252,99.458,77.96,98.89
16,86.86,99.512,82.37,98.96
17,87.274,99.522,80.79,98.99
18,87.378,99.53,80.58,99.08
19,87.46,99.562,82.72,99.03
20,87.536,99.576,83.72,99.21
21,87.894,99.568,84.51,99.23
22,87.958,99.6,82.06,99.08
23,88.21,99.596,84.26,99.35
24,88.288,99.59,83.32,99.32
25,88.61,99.636,84.28,99.42
26,88.55,99.598,82.33,99.3
27,88.742,99.634,81.84,98.85
28,89.022,99.638,83.36,99.22
29,88.82,99.64,84.05,99.24
30,89.098,99.664,84.38,99.42
31,89.042,99.66,85.14,99.36
32,89.174,99.674,84.26,99.39
33,89.186,99.722,82.82,99.06
34,89.272,99.658,86.48,99.61
35,89.418,99.688,83.25,99.3
36,89.466,99.688,84.49,99.24
37,89.426,99.692,83.93,99.06
38,89.622,99.698,80.52,99.3
39,89.732,99.72,85.28,99.35
40,89.916,99.738,85.23,99.38
41,89.732,99.718,86.16,99.46
42,89.796,99.704,85.91,99.44
43,89.916,99.706,84.55,99.36
44,89.946,99.73,83.16,99.48
45,89.952,99.738,84.67,99.33
46,89.97,99.724,85.75,99.34
47,89.994,99.716,84.05,99.25
48,89.94,99.696,84.52,99.41
49,90.204,99.734,83.44,99.35
50,89.974,99.778,82.29,99.36
51,90.178,99.75,85.85,99.43
52,90.244,99.734,86.17,99.38
53,90.404,99.724,83.68,99.4
54,90.106,99.732,85.47,99.51
55,90.422,99.764,86.8,99.47
56,90.374,99.724,87.09,99.44
57,90.436,99.736,84.55,99.22
58,90.302,99.754,85.41,99.37
59,90.352,99.75,85.54,99.37
60,90.422,99.744,84.52,99.15
61,90.526,99.722,84.77,99.27
62,90.398,99.754,86.03,99.41
63,90.404,99.776,84.68,99.17
64,90.64,99.782,84.9,99.22
65,90.484,99.738,84.29,99.48
66,90.384,99.762,85.8,99.39
67,90.584,99.726,85.3,99.19
68,90.876,99.74,85.62,99.43
69,90.508,99.72,86.88,99.61
70,90.576,99.76,83.32,99.02
71,90.528,99.762,86.44,99.39
72,90.706,99.77,84.34,99.11
